channel_name,short_video_id,short_url,short_title,short_upload_date,short_duration_sec,percentile_bucket,channel_performance_percentile,short_views,channel_longform_count,suggest1_score,suggest1_url,suggest1_title,suggest1_duration_sec,suggest2_score,suggest2_url,suggest2_title,suggest2_duration_sec,suggest3_score,suggest3_url,suggest3_title,suggest3_duration_sec,origin_long_video_url,manual_start_sec,manual_end_sec
BDNS,3LCkWN4RCMM,https://www.youtube.com/shorts/3LCkWN4RCMM,어제 야식 드셨죠?,20250711,43,p20_40,30.1,112000,831,0.0667,https://www.youtube.com/watch?v=lfWmKxdGmQk,[문대만 구하기] 10화 - 빠더너스 새해 맞이 좋은 소식! 드디어 엠넷 도장 찍어요?,367.0,0.0,https://www.youtube.com/watch?v=XrJsnL9caWs,When you get stuck playing 'would you rather' during lunch and end up staying un,2746.0,0.0,https://www.youtube.com/watch?v=s_YXfxfVTDI,True Ghost Stories Told at the Rainy Gicheon Reservoir,2147.0,,,
BDNS,IegV4PYLv6c,https://www.youtube.com/shorts/IegV4PYLv6c,진짜 막 나가는 문상훈,20260112,55,p20_40,29.7,111000,831,0.5,https://www.youtube.com/watch?v=yLmzOj8uMPU,이러고 성수동 팝업 가는 문상훈 브이로그,1004.0,0.45,https://www.youtube.com/watch?v=0UeMnTQBk_c,친구랑 가을맞이 피크닉하는 문상훈 브이로그 (with 신현수),1478.0,0.45,https://www.youtube.com/watch?v=DMneYmNp3AA,아킬레스건 붙이고 세 번째 시구하는 문상훈,1328.0,,,
BDNS,rCTzI8Iq0K4,https://www.youtube.com/shorts/rCTzI8Iq0K4,롯데월드 데이트 필승법,20250621,49,p20_40,30.1,112000,831,0.6667,https://www.youtube.com/watch?v=iqRS9nDQzLA,"[복학생 vlog] 연애 15일차💕 롯데월드 데이트 브이로그(교복 데이트, 잠실 맛집, 커플 타투, 지글지글 챌린지, 연상연하커플, 삥뜯기 팁,",935.0,0.2889,https://www.youtube.com/watch?v=-T5xoVJazCo,야알못 여사친과 야구장 데이트 브이로그,931.0,0.2889,https://www.youtube.com/watch?v=lrIOIJBvp0I,"친구 누나와 두번째 데이트 (인간 푸바오, 에버랜드 공개고백, 티익스프레스, 14K 반지 추천, 연하남 플러팅)",912.0,,,
BDNS,2j2JkUqEOjA,https://www.youtube.com/shorts/2j2JkUqEOjA,"At this point, is writing malicious comments justifiable self-defense?",20240322,47,p40_60,50.0,238000,831,0.248,https://www.youtube.com/watch?v=B3wM6M2sMNo,What is BDNS doing at the #1 Film Festival in the World? - France (Part 2),1676.0,0.212,https://www.youtube.com/watch?v=qVUyELfmhJ0,Sting vs Spicy! These comments can sting! | Tailore Chat EP 43 Park Jin Joo,1820.0,0.212,https://www.youtube.com/watch?v=QNKfvPgA1bw,(Includes Ending) The Man Who Has to Wear a Helmet His Whole Life Because His He,501.0,,,
BDNS,3VrMdCEits0,https://www.youtube.com/shorts/3VrMdCEits0,얼굴 안 본다는 사람 특..,20250430,31,p40_60,50.2,239000,831,0.3,https://www.youtube.com/watch?v=gveX7Wtk4jo,소외되는 사람 하나 없는 수능 응원 영상,2051.0,0.3,https://www.youtube.com/watch?v=14CCvCd8d2A,"끝까지 읽은 사람 없다는 필독서 [총, 균, 쇠] 7분 요약",465.0,0.25,https://www.youtube.com/watch?v=R0QVPbDb-kg,너 가르친 사람 누구? 문쌤. 대답이 됐으려나?,382.0,,,
BDNS,aL_HaY-S3Ug,https://www.youtube.com/shorts/aL_HaY-S3Ug,돌아온 삼행시 달인,20251022,24,p40_60,50.0,238000,831,0.3143,https://www.youtube.com/watch?v=l3nbk8mXcHo,"크리스마스에 돌아온 혼당기 (새 작업실, 밀린 얘기들, INFP, 방바닥 긁는 소리, 김광석, 세계의 주인)",1712.0,0.3143,https://www.youtube.com/watch?v=pUE1BqF8Tww,새 굿즈로 푸짐하게 돌아온 문상훈,1431.0,0.3143,https://www.youtube.com/watch?v=4asYixtGRLg,돌아온 후니쓰와 함께하는 올해 마지막 라이브쇼!,1518.0,,,
BDNS,BZ7P5JGy2tk,https://www.youtube.com/shorts/BZ7P5JGy2tk,웬디 쌤이 고백 거절하는 방법 (기쁨이 ver.),20240705,59,p60_80,70.1,726000,831,0.1563,https://www.youtube.com/watch?v=ORjWNfBnwR0,"[오당기] 김현철과 오지 않는 치즈 플래터를 기다리며 (김현철 1집, 죠지, 우울함을 극복하는 방법, 라디오에서 이맘때 꼭 나오는 노래, 일본 ",1019.0,0.1328,https://www.youtube.com/watch?v=BudB9Vh3p2s,편의점 알바가 목돈 마련하는 충격적인 방법...,1186.0,0.1328,https://www.youtube.com/watch?v=h-7V1ydOpz0,"[해인칭] 작업실 포장마차로 다시 시작하는 빠더너스, 소주를 먹는 가장 완벽한 방법!",1015.0,,,
BDNS,Od3G-mo310U,https://www.youtube.com/shorts/Od3G-mo310U,조부모님 함자가 어떻게 돼?,20240504,58,p60_80,70.2,733000,831,0.28,https://www.youtube.com/watch?v=KvMQvfH9nX8,[문쌤] 이게 어떻게 되니 얘들아? 너무 신기하다 너희는 얼마 나왔어?,323.0,0.04,https://www.youtube.com/watch?v=A5SHs9ufFbY,시청자가 직접 겪은 소름 돋는 공포 사연들 [문쌤 라디오],2605.0,0.04,https://www.youtube.com/watch?v=BVHKPHbPdTA,러쉬 알바생 제자가 찾아왔다,498.0,,,
BDNS,mJUuPic6N7k,https://www.youtube.com/shorts/mJUuPic6N7k,네모 안에 오는 것만 휘둘러!!!,20250828,60,p60_80,69.9,721000,831,0.04,https://www.youtube.com/watch?v=ORjWNfBnwR0,"[오당기] 김현철과 오지 않는 치즈 플래터를 기다리며 (김현철 1집, 죠지, 우울함을 극복하는 방법, 라디오에서 이맘때 꼭 나오는 노래, 일본 ",1019.0,0.04,https://www.youtube.com/watch?v=gf3p0vGl-cc,"[홈비디오] “이러다가는 다~죽어!"" 치킨각 나오는 빅 매치! 파워 보컬 끝판왕🔥",1105.0,0.04,https://www.youtube.com/watch?v=0VbMgK1vXvY,"[오당기] 권정열과 함께 오지 않는 카레를 기다리며 上 (아메리카노, 하이볼, 찌질함에 대하여, 하고 싶은 것과 잘 하는 것, 프렌즈, 수어사이",1022.0,,,
OOTB,b7yBwUMn5Pk,https://www.youtube.com/shorts/b7yBwUMn5Pk,Idol vs. Middle-aged Man Haiku Battle,20260516,28,p20_40,30.1,71000,275,0.219,https://www.youtube.com/watch?v=55DWIeJY2sI,SM vs YG Showdown (feat. BABYMONSTER ASA) [Composition] | Changing Majors ep.121,1844.0,0.219,https://www.youtube.com/watch?v=gh5aq4Tqq9A,Idol? Is that something we eat? [(G)I-DLE MIYEON] | Muija ep.9,2296.0,0.2042,https://www.youtube.com/watch?v=hRNtOwjhVGw,SAMSUNG vs. KIA: 2024 KBO Champion? [Korean Series] | Becoming a baseball nerd S,2189.0,,,
