pair_id,long_video_id,short_video_id,channel_name,long_video_url,short_video_url,gold_start_sec,gold_end_sec,short_views,short_likes,label_confidence,label_notes,vpick_project_id,vpick_asset_id
G001,PbUlNGCqBVw,OnfYDOBjYfM,숏박스,https://www.youtube.com/watch?v=PbUlNGCqBVw,https://www.youtube.com/shorts/OnfYDOBjYfM,196,236,11000000,104612,high,채널내백분위=98.2,a7fa478a-b331-48ef-a02c-c59f5ba42a14,1d4b4a36-54d9-4cef-b0b7-3b3b229b78cd
G002,lPl8-Fo4nr8,gQ-nHlRHDaE,숏박스,https://www.youtube.com/watch?v=lPl8-Fo4nr8,https://www.youtube.com/shorts/gQ-nHlRHDaE,129,153,8500000,58718,high,채널내백분위=96.4,0e0c4893-5bce-47ec-a06a-209199608740,de6ebc15-2946-42f7-915c-2cd0b986a876
G003,kqp0SX08Vgo,SanCfrgd-CM,숏박스,https://www.youtube.com/watch?v=kqp0SX08Vgo,https://www.youtube.com/shorts/SanCfrgd-CM,372,404,8000000,68494,high,채널내백분위=93.6,0e0c4893-5bce-47ec-a06a-209199608740,ce2df702-cae0-4d4b-888e-0f36b6b50c26
G004,iEr0A1pBMKA,8RHTeRZyAms,숏박스,https://www.youtube.com/watch?v=iEr0A1pBMKA,https://www.youtube.com/shorts/8RHTeRZyAms,287,343,8000000,83056,high,채널내백분위=93.6,0e0c4893-5bce-47ec-a06a-209199608740,1138fd87-0389-47bf-a5de-6147aad8eca5
G005,cJiYXnMtYl0,1IDEwu4Jvxw,숏박스,https://www.youtube.com/watch?v=cJiYXnMtYl0,https://www.youtube.com/shorts/1IDEwu4Jvxw,222,270,6900000,63512,medium,링크는 없는데 직접 찾아서 넣음; 채널내백분위=90.9,0e0c4893-5bce-47ec-a06a-209199608740,3f278c58-50c0-4b7d-939b-38dd1d97f44c
G006,mnGNoGj19Jg,ytkvihe5k1Q,숏박스,https://www.youtube.com/watch?v=mnGNoGj19Jg,https://www.youtube.com/shorts/ytkvihe5k1Q,132,148,5400000,51938,high,채널내백분위=89.1,0e0c4893-5bce-47ec-a06a-209199608740,0ed326af-f536-4de8-aac6-b40e5b1d0ff5
G007,q1cOniSzk9o,KLDQAVHBMgE,숏박스,https://www.youtube.com/watch?v=q1cOniSzk9o,https://www.youtube.com/shorts/KLDQAVHBMgE,251,303,5300000,52233,high,채널내백분위=87.3,0e0c4893-5bce-47ec-a06a-209199608740,43491862-8bfe-45f6-8b23-e8cf1fb04d17
G008,oIq0h5_FZAw,nLcsPfFQwdM,숏박스,https://www.youtube.com/watch?v=oIq0h5_FZAw,https://www.youtube.com/shorts/nLcsPfFQwdM,201,236,4600000,47402,high,ppl; 채널내백분위=85.5,0e0c4893-5bce-47ec-a06a-209199608740,2741348c-5082-49d6-937a-699f98323e42
G009,gyMxiDXARbI,8QmzdjiuBPo,피식대학,https://youtu.be/gyMxiDXARbI,https://www.youtube.com/shorts/8QmzdjiuBPo,1970,2030,10000000,224624,low,구간 길이 불일치; program=피식쇼; 채널내백분위=99.3,197391b6-b741-4f99-b5d8-68d580b72f3c,c30d77f5-bdf0-45c8-81a0-83a8e0c906ee
G010,K71PqYJUQnI,KSZjCTgWnlE,피식대학,https://youtu.be/K71PqYJUQnI?si=cmG5dX16HqGxyD7k,https://www.youtube.com/shorts/KSZjCTgWnlE,478,534,10000000,128622,medium,컷 편집 좀 들어간듯; program=나락퀴즈쇼; 채널내백분위=99.3,197391b6-b741-4f99-b5d8-68d580b72f3c,9d237bfc-6641-4268-9310-0599b9466bf5
G011,yk3hY55W9nE,PsHAqiAIqEA,OOTB_Studio,https://www.youtube.com/watch?v=yk3hY55W9nE,https://www.youtube.com/shorts/PsHAqiAIqEA,1128,1175,15000000,269786,high,program=전과자; 채널내백분위=99.2,f0419262-4b31-4cbe-8ae1-fe2eaa228831,59a93932-f29d-4323-8332-bd6b910b90d1
G012,yk3hY55W9nE,7B7evgf22sY,OOTB_Studio,https://www.youtube.com/watch?v=yk3hY55W9nE,https://www.youtube.com/shorts/7B7evgf22sY,621,701,15000000,183006,low,구간 길이 불일치; program=전과자; 채널내백분위=99.2,f0419262-4b31-4cbe-8ae1-fe2eaa228831,59a93932-f29d-4323-8332-bd6b910b90d1
G013,nVJIIWdwx60,viIvggdLF5s,OOTB_Studio,https://www.youtube.com/watch?v=nVJIIWdwx60,https://www.youtube.com/shorts/viIvggdLF5s,230,263,15000000,192382,high,program=전과자; 채널내백분위=99.2,f0419262-4b31-4cbe-8ae1-fe2eaa228831,be2ca360-f046-4595-a9e7-ec4a905bc7c8
G014,NU5X-txt9uU,2oG9HS1szAU,OOTB_Studio,https://www.youtube.com/watch?v=NU5X-txt9uU,https://www.youtube.com/shorts/2oG9HS1szAU,96,152,15000000,244761,high,program=전과자; 채널내백분위=99.2,f0419262-4b31-4cbe-8ae1-fe2eaa228831,3c2e5f39-5c13-4f1f-a00c-f7ddf689135b
G015,p1WHu-Vhjxk,UsC-Mdee1wc,OOTB_Studio,https://www.youtube.com/watch?v=p1WHu-Vhjxk,https://www.youtube.com/shorts/UsC-Mdee1wc,512,528,14000000,401386,high,program=전과자; 채널내백분위=98.9,f0419262-4b31-4cbe-8ae1-fe2eaa228831,055b75b1-b985-4815-bebd-4e2ee1bf4596
G016,D-xlw07rGEM,ub9-c5PlBIY,OOTB_Studio,https://www.youtube.com/watch?v=D-xlw07rGEM,https://www.youtube.com/shorts/ub9-c5PlBIY,1329,1398,14000000,286293,high,program=전과자; 채널내백분위=98.9,f0419262-4b31-4cbe-8ae1-fe2eaa228831,f6633b73-c693-41d9-9d44-d719cbdc4741
G017,u2BCGcOweTo,iKDmq5Pb8VM,OOTB_Studio,https://www.youtube.com/watch?v=u2BCGcOweTo,https://www.youtube.com/shorts/iKDmq5Pb8VM,641,700,14000000,257093,high,program=전과자; 채널내백분위=98.9,f0419262-4b31-4cbe-8ae1-fe2eaa228831,c6f54a67-790d-4079-aaa6-17068099489a
G018,xQu9l6UtMNk,Z6wHHOxBt_4,빠더너스,https://www.youtube.com/watch?v=xQu9l6UtMNk,https://www.youtube.com/shorts/Z6wHHOxBt_4,1379,1495,9100000,97447,low,구간 길이 불일치; program=딱대; 채널내백분위=99.1,6b00ef4e-28ab-4e05-9d10-c0043457087c,c1669f43-6484-4e73-b676-f526eb934a65
G019,rORE8KqiWQw,aTUXCOVmf3I,빠더너스,https://www.youtube.com/watch?v=rORE8KqiWQw,https://www.youtube.com/shorts/aTUXCOVmf3I,490,519,9300000,185260,high,program=딱대; 채널내백분위=99.1,6b00ef4e-28ab-4e05-9d10-c0043457087c,f990d2cc-d253-4a29-adf0-bc298ec2f564
G020,KHzVHQipZCg,5HZFbXpM8wM,빠더너스,https://www.youtube.com/watch?v=KHzVHQipZCg,https://www.youtube.com/shorts/5HZFbXpM8wM,166,234,9000000,146289,high,program=딱대; 채널내백분위=99.0,6b00ef4e-28ab-4e05-9d10-c0043457087c,29620e1e-9912-40a8-b56f-19bb3eb1c56c
G021,C8qoM6yN4OU,LPRH42Hc9Ko,워크맨,https://www.youtube.com/watch?v=C8qoM6yN4OU,https://www.youtube.com/shorts/LPRH42Hc9Ko,292,306,5100000,139050,high,채널내백분위=99.5,09433922-a53c-479e-8814-c8a2f767bdae,2eab0e03-62b2-417b-b2f4-32a771bd8934
G022,mverbGxXN0M,YmMJrhU3NZE,워크맨,https://www.youtube.com/watch?v=mverbGxXN0M,https://www.youtube.com/shorts/YmMJrhU3NZE,667,700,4900000,51277,high,채널내백분위=99.5,09433922-a53c-479e-8814-c8a2f767bdae,b810572a-176a-40b7-8b8f-317c2e47634e
G023,81i9AucS92M,nXeoxjbSrcg,워크맨,https://www.youtube.com/watch?v=81i9AucS92M,https://www.youtube.com/shorts/nXeoxjbSrcg,407,437,4800000,34930,high,채널내백분위=99.4,09433922-a53c-479e-8814-c8a2f767bdae,b2d55de0-fb31-42aa-9a20-75ca855c18bf
G024,5Vnj42O0s0M,Do2V1iG8X2Y,워크맨,https://www.youtube.com/watch?v=5Vnj42O0s0M,https://www.youtube.com/shorts/Do2V1iG8X2Y,244,264,4500000,94648,high,채널내백분위=99.3,09433922-a53c-479e-8814-c8a2f767bdae,321dc01c-df6f-4480-b411-ce962e342224
G025,P8RmTGNoPl0,AqnexsQ9Aks,워크맨,https://www.youtube.com/watch?v=P8RmTGNoPl0,https://www.youtube.com/shorts/AqnexsQ9Aks,832,857,4000000,53462,high,채널내백분위=99.2,09433922-a53c-479e-8814-c8a2f767bdae,52009972-654e-4d36-bd40-af5a4c772c4c
G027,K3jHdrfM6l4,e1D9hyrtyek,워크맨,https://www.youtube.com/watch?v=K3jHdrfM6l4,https://www.youtube.com/shorts/e1D9hyrtyek,204,271,3700000,39258,high,채널내백분위=99.0,09433922-a53c-479e-8814-c8a2f767bdae,b7b38776-47ba-4bea-bc51-f0ad25771bb1
G028,pH_LU8mMXqU,vkjmsyrvRDI,워크맨,https://www.youtube.com/watch?v=pH_LU8mMXqU,https://www.youtube.com/shorts/vkjmsyrvRDI,299,313,3700000,68260,high,채널내백분위=99.0,09433922-a53c-479e-8814-c8a2f767bdae,3bcbed1c-c5c7-4355-9178-08471aa0acdf
