"candidate_id","long_video_id","long_video_url","start_sec","end_sec","start_time","end_time","duration_sec","source_system","source_run_id","source_rank","pair_id","short_video_id","short_video_url","short_views","short_likes","channel_name","channel_performance_percentile","label_confidence","mapping_confidence","performance_evidence_status","labeling_rule_version","source_notes","dataset_split","evaluation_role","performance_label","alignment_status","short_like_rate","short_duration_sec","upload_date","stats_snapshot_date","candidate_rank_in_channel","shorts_native_suspect","percentile_source","alignment_policy_version","short_duration_source","gold_span_start_sec","gold_span_end_sec","gold_span_duration_sec","span_ratio","gold_segments_json","segments_available","segment_ratio","segment_count","segment_direction","omitted_sec","ratio_status","ratio_review_flag","alignment_classification_v3","classification_basis","verification_status","verification_reason","next_action","legacy_alignment_status","legacy_mapping_confidence","timestamp_method","timestamp_confidence","usable_for_gold","observed_source_span_start_sec","observed_source_span_end_sec","short_title_yt","long_title_yt","youtube_metadata_source","youtube_metadata_snapshot_date","channel_name_raw"
"C_c0b26784941e91","9aPAIgj6g8E","https://www.youtube.com/watch?v=9aPAIgj6g8E","476.000","503.000","07:56.000","08:23.000","27.000","selected_replacement","selected_replacements_v3_2026-07-23","","G024","1Sp31pKVVqc","https://www.youtube.com/shorts/1Sp31pKVVqc","5651873","108060","워크맨","99.8","medium","medium","selected_replacement_short_verified_pending_longform_mapping","channel_percentile_v1_alignment_v2","selected replacement for Do2V1iG8X2Y; longform/start/end pending; do not evaluate until mapped; timestamp_method=yt_dlp_source_discovery_and_subtitle_alignment; Missing long-form was identified as the cheerleader Workdol episode; two forward segments aligned with full coverage.","main","gold","pos","light_edit","0.01911933","33","20240601","2026-07-23","2","FALSE","gold_전체.xlsx:channel_sheets","yt_dlp_timestamp_pipeline_v4","youtube_metadata_yt_dlp","476.000","503.000","27.000","0.8182","","no","","","","","accepted_by_alignment_policy","no","light_edit","selected_replacement_requires_longform_mapping","verified_usable","Missing long-form was identified as the cheerleader Workdol episode; two forward segments aligned with full coverage.","include_in_gold_dataset","continuous","high","yt_dlp_source_discovery_and_subtitle_alignment","medium","yes","476.000","503.000","아는 남동생이랑 어디까지 가능?","치어리더 알바 출근했다가 생긴 일ㅣ워크돌ㅣ엔믹스 해원","yt_dlp","2026-07-23","워크맨-Workman"
"C_43e3e8d1218dbf","81i9AucS92M","https://www.youtube.com/watch?v=81i9AucS92M","407","437","06:47.0","07:17.0","30","gold","published_short_gold","1","G023","nXeoxjbSrcg","https://www.youtube.com/shorts/nXeoxjbSrcg","4800000","34930","워크맨","99.4","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","채널내백분위=99.4","main","gold","pos","continuous","","30","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","407","437","30","1","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","high","","","","","","","","","","워크맨"
"C_cf6a5ac9e60aff","C8qoM6yN4OU","https://www.youtube.com/watch?v=C8qoM6yN4OU","292","306","04:52.0","05:06.0","14","gold","published_short_gold","1","G021","LPRH42Hc9Ko","https://www.youtube.com/shorts/LPRH42Hc9Ko","5100000","139050","워크맨","99.5","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","채널내백분위=99.5","main","gold","pos","continuous","","14","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","292","306","14","1","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","high","","","","","","","","","","워크맨"
"C_6143af2dd83690","D-xlw07rGEM","https://www.youtube.com/watch?v=D-xlw07rGEM","1329","1398","22:09.0","23:18.0","69","gold","published_short_gold","1","G016","ub9-c5PlBIY","https://www.youtube.com/shorts/ub9-c5PlBIY","14000000","286293","OOTB","98.9","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","program=전과자; 채널내백분위=98.9","main","gold","pos","light_edit","","60","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","1329","1398","69","1.15","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","light_edit","high","","","","","","","","","","OOTB_Studio"
"C_36cd95fcfbae0d","I6JDOE9tKqo","https://www.youtube.com/watch?v=I6JDOE9tKqo","293","310","04:53.0","05:10.0","17","gold","published_short_gold","1","C007","ofZ3m43OEhE","https://www.youtube.com/shorts/ofZ3m43OEhE","12000","183","워크맨","0.4","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","ppl; program=월클맨; 채널내백분위=0.4; 대조군(Judge검증용,메인평가제외)","control","gold","neg","continuous","","19","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","293","310","17","0.8947","","no","","","","","needs_review_below_0.9","yes","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","high","","","","","","","","","","워크맨"
"C_4335c2b1ef21ae","I6JDOE9tKqo","https://www.youtube.com/watch?v=I6JDOE9tKqo","502","519","08:22.0","08:39.0","17","gold","published_short_gold","1","C006","vibQ-EObSx8","https://www.youtube.com/shorts/vibQ-EObSx8","11000","154","워크맨","0.2","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","ppl; program=월클맨; 채널내백분위=0.2; 대조군(Judge검증용,메인평가제외)","control","gold","neg","continuous","","18","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","502","519","17","0.9444","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","high","","","","","","","","","","워크맨"
"C_47c5f35da2b59b","I6JDOE9tKqo","https://www.youtube.com/watch?v=I6JDOE9tKqo","1262","1285","21:02.0","21:25.0","23","gold","published_short_gold","1","C004","DZk-hdrQOx4","https://www.youtube.com/shorts/DZk-hdrQOx4","7200","172","워크맨","0.1","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","ppl; program=월클맨; 채널내백분위=0.1; 대조군(Judge검증용,메인평가제외)","control","gold","neg","continuous","","25","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","1262","1285","23","0.92","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","high","","","","","","","","","","워크맨"
"C_ed4d0882198044","K3jHdrfM6l4","https://www.youtube.com/watch?v=K3jHdrfM6l4","204","271","03:24.0","04:31.0","67","gold","published_short_gold","1","G027","e1D9hyrtyek","https://www.youtube.com/shorts/e1D9hyrtyek","3700000","39258","워크맨","99","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","채널내백분위=99.0","main","gold","pos","heavy_edit","","59","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","204","271","67","1.1356","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","heavy_edit","high","","","","","","","","","","워크맨"
"C_e48e79dfc234d7","K71PqYJUQnI","https://www.youtube.com/watch?v=K71PqYJUQnI","478","534","07:58.0","08:54.0","56","gold","published_short_gold","1","G010","KSZjCTgWnlE","https://www.youtube.com/shorts/KSZjCTgWnlE","10000000","128622","피식대학","99.3","medium","medium","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","컷 편집 좀 들어간듯; program=나락퀴즈쇼; 채널내백분위=99.3","main","gold","pos","continuous","","53","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","478","534","56","1.0566","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","continuous","medium","","","","","","","","","","피식대학"
"C_4ddbf1b59c9031","KHzVHQipZCg","https://www.youtube.com/watch?v=KHzVHQipZCg","166","234","02:46.0","03:54.0","68","gold","published_short_gold","1","G020","5HZFbXpM8wM","https://www.youtube.com/shorts/5HZFbXpM8wM","9000000","146289","BDNS","99","high","high","verified_channel_percentile_snapshot","channel_percentile_v1_alignment_v2","program=딱대; 채널내백분위=99.0","main","gold","pos","light_edit","","58","","pre_2026-07-22","","","original_gold_snapshot","alignment_v3","youtube_metadata_yt_dlp","166","234","68","1.1724","","no","","","","","continuous_ratio_range","no","unclassified","ordered_segments_required","unverifiable","gold_segments_unavailable","recover_or_create_ordered_gold_segments","light_edit","high","","","","","","","","","","빠더너스"
