pair_id,long_video_id,short_video_id,channel_name,long_video_url,short_video_url,gold_start_sec,gold_end_sec,short_views,short_likes,label_confidence,label_notes,vpick_project_id,vpick_asset_id
P001,NS7tSrMrWsc,c8vCVztYVg8,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/c8vCVztYVg8?si=_5h3MxKu7XYz6yym,1339,1356,6023683,48199,high,쇼츠 내용이 원본 22:19-22:36 구간과 일치,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P002,NS7tSrMrWsc,M-UsuPm7zcM,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/M-UsuPm7zcM?si=zGUTgWYM9GDvsOf4,477,501,,,high,사용자 라벨: 원본 7:57-8:21,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P003,NS7tSrMrWsc,Fxc1_HkGlBw,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/Fxc1_HkGlBw?si=2ImZ61KKmQdyVoQm,581,614,,,high,사용자 라벨: 원본 9:41-10:14,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P004,NS7tSrMrWsc,QQmGNdNgs8w,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/QQmGNdNgs8w?si=fYVC3Ht3gIuC1KxN,1500,1541,,,high,사용자 라벨: 원본 25:00-25:41,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P005,NS7tSrMrWsc,QEpr_lLWw-0,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/QEpr_lLWw-0?si=IRXbGeqPV-cTemUh,1271,1329,,,high,사용자 라벨: 원본 21:11-22:09,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P006,NS7tSrMrWsc,JFpNSb2pqLQ,,https://www.youtube.com/watch?v=NS7tSrMrWsc&t=1509s,https://youtube.com/shorts/JFpNSb2pqLQ?si=n87nkn74tplesMaG,1202,1257,,,high,사용자 라벨: 원본 20:02-20:57,a6838c84-e285-45e9-bc26-16b60e187be0,2baacd9b-6166-429c-b1f7-0e9491f95389
P007,heifaIjlSUc,lIqwLsFw3LQ,,https://www.youtube.com/watch?v=heifaIjlSUc&t=620s,https://youtube.com/shorts/lIqwLsFw3LQ?si=uf2ZGMW7aLHbxLM9,619,664,,,high,사용자 라벨: 원본 10:19-11:04,a6838c84-e285-45e9-bc26-16b60e187be0,7d9cde2c-eb11-4c2f-8ab0-e128d2cdccd1
P008,heifaIjlSUc,9lZ49H7koy8,,https://www.youtube.com/watch?v=heifaIjlSUc&t=620s,https://youtube.com/shorts/9lZ49H7koy8?si=X9kx8kZYYYppEo6D,355,397,,,high,사용자 라벨: 원본 5:55-6:37,a6838c84-e285-45e9-bc26-16b60e187be0,7d9cde2c-eb11-4c2f-8ab0-e128d2cdccd1
P009,heifaIjlSUc,sjxwELcdu1s,,https://www.youtube.com/watch?v=heifaIjlSUc&t=620s,https://youtube.com/shorts/sjxwELcdu1s?si=qclIeJZQjxo6HINz,402,455,,,high,사용자 라벨: 원본 6:42-7:35,a6838c84-e285-45e9-bc26-16b60e187be0,7d9cde2c-eb11-4c2f-8ab0-e128d2cdccd1
P010,OrCOflk2QmQ,Djc2pShwxpI,,https://www.youtube.com/watch?v=OrCOflk2QmQ&t=1161s,https://youtube.com/shorts/Djc2pShwxpI?si=LMacm-L2vwVvg174,849,894,,,high,사용자 라벨: 원본 14:09-14:54,a6838c84-e285-45e9-bc26-16b60e187be0,01c11fa0-473f-40ba-a082-16fb44ae86c2
P011,OrCOflk2QmQ,jcjUlRUDya4,,https://www.youtube.com/watch?v=OrCOflk2QmQ&t=1161s,https://youtube.com/shorts/jcjUlRUDya4?si=FhvcihVx6OWZTtBD,1447,1496,,,high,사용자 라벨: 원본 24:07-24:56,a6838c84-e285-45e9-bc26-16b60e187be0,01c11fa0-473f-40ba-a082-16fb44ae86c2
