"candidate_id","pair_id","label","channel","long_video_id","short_video_id","evidence_source","description_chars","transcript_chars","before_chars","after_chars"
"C_3ecce7ed1300e0","N025","neg","안녕하세요원이입니다잘부탁드립니다","1O4hJxumimA","EVJyBi45blE","short_subtitle_with_long_context","0","308","282","245"
"C_3d9279f0d7d387","N009","neg","안녕하세요원이입니다잘부탁드립니다","1O4hJxumimA","2bwRDVLzho4","short_subtitle_with_long_context","0","593","270","286"
"C_ec5e579561da6e","N022","neg","안녕하세요원이입니다잘부탁드립니다","1O4hJxumimA","hZn6Yb6M6oM","short_subtitle_with_long_context","0","566","221","267"
"C_7b75153d37db46","N029","neg","OOTB_Studio","1WwG6ZQQ_Yg","jaxLvOV4QjE","short_subtitle_with_long_context","0","667","315","339"
"C_65e4291e914feb","N031","neg","OOTB_Studio","355LIXPCgEg","i5YUyHML48A","short_subtitle_with_long_context","0","664","174","357"
"C_6414ba08f8a7b0","N020","neg","OOTB_Studio","3jAfgsSScXc","PXEK0MhuBUA","short_subtitle_with_long_context","0","553","220","258"
"C_a2a8833a216d15","G024","pos","워크맨","5Vnj42O0s0M","Do2V1iG8X2Y","short_subtitle_with_long_context","0","201","214","254"
"C_f23f299edb5cb5","N028","neg","OOTB_Studio","6gzGqgt3Kl8","aRmjlP7xF9Q","short_subtitle_with_long_context","0","467","192","159"
"C_43e3e8d1218dbf","G023","pos","워크맨","81i9AucS92M","nXeoxjbSrcg","short_subtitle_with_long_context","0","235","251","257"
"C_2cf15b84749a09","N015","neg","피식대학","A4PTxQ3967E","piJ-LzmIYeI","short_subtitle_with_long_context","0","379","202","314"
"C_cf6a5ac9e60aff","G021","pos","워크맨","C8qoM6yN4OU","LPRH42Hc9Ko","short_subtitle_with_long_context","0","211","243","195"
"C_6143af2dd83690","G016","pos","OOTB_Studio","D-xlw07rGEM","ub9-c5PlBIY","short_subtitle_with_long_context","0","555","234","263"
"C_36cd95fcfbae0d","C007","neg","워크맨","I6JDOE9tKqo","ofZ3m43OEhE","short_subtitle_with_long_context","0","236","243","224"
"C_4335c2b1ef21ae","C006","neg","워크맨","I6JDOE9tKqo","vibQ-EObSx8","short_subtitle_with_long_context","0","232","223","237"
"C_47c5f35da2b59b","C004","neg","워크맨","I6JDOE9tKqo","DZk-hdrQOx4","short_subtitle_with_long_context","0","210","180","236"
"C_91f8107bfc89bd","N033","neg","피식대학","IGa01C5Dg3k","ombDOp400Cg","short_subtitle_with_long_context","0","368","282","202"
"C_ed4d0882198044","G027","pos","워크맨","K3jHdrfM6l4","e1D9hyrtyek","short_subtitle_with_long_context","0","297","263","214"
"C_e48e79dfc234d7","G010","pos","피식대학","K71PqYJUQnI","KSZjCTgWnlE","short_subtitle_with_long_context","0","228","112","181"
"C_4ddbf1b59c9031","G020","pos","빠더너스","KHzVHQipZCg","5HZFbXpM8wM","short_subtitle_with_long_context","0","657","266","235"
