pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,selected_scene_ids,confidence,notes
G018,-ZZfsK32sJQ,ST3IiaHTbHI,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,328.975,373.975,dde1625c-e57c-4654-921c-acdb1b4ec1a3,0.8455,candidate_id=HC_362a14e0ffb451;bin=3/9
G018,-ZZfsK32sJQ,ST3IiaHTbHI,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,397.217,443.53,974096f7-c3f8-48e2-8a24-bb57152a4767|f58b0add-36d7-4c43-8f6f-e5762fa54059,0.845906,candidate_id=HC_a3f383ec55a1da;bin=3/9
G018,-ZZfsK32sJQ,ST3IiaHTbHI,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,3,751.3,796.601,4ace8542-331a-450c-a71e-515c5259b6a8,0.795749,candidate_id=HC_301c1d67e42b95;bin=5/9
G018,-ZZfsK32sJQ,ST3IiaHTbHI,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,4,1147.515,1191.998,3b3342e2-60d8-438c-921f-59ab11ff0773|f473ace8-0ada-4c2a-a8bd-8ee95a1e1454,0.910319,candidate_id=HC_32b21ee25f7dff;bin=7/9
G018,-ZZfsK32sJQ,ST3IiaHTbHI,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,5,1300.9,1345.9,a6e8cb5d-aef2-4b7a-b9ca-276190daf868|cd894c6d-5b01-441b-8e5f-d435fc2e30c3,0.769,candidate_id=HC_dde55c80340173;bin=8/9
N029,1WwG6ZQQ_Yg,jaxLvOV4QjE,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,167.419,215.89,eb09d15c-3089-453f-a87a-fa649d05c93c,0.943958,candidate_id=HC_72279b6ac8813d;bin=2/12
N029,1WwG6ZQQ_Yg,jaxLvOV4QjE,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,723.473,770.045,53d5c271-160a-4b43-b27e-5cc1f86826ef|663971b5-7dd1-45ee-8c1d-268681217921,0.79469,candidate_id=HC_541a6f48c80188;bin=5/12
N029,1WwG6ZQQ_Yg,jaxLvOV4QjE,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,3,1168.11,1213.63,d9d0a201-8d30-42f8-9397-0bd07aec2d3c,0.823167,candidate_id=HC_48621584609a29;bin=7/12
N029,1WwG6ZQQ_Yg,jaxLvOV4QjE,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,4,1502.325,1547.325,16ae736a-3650-43f5-9f82-e480c6c84a92|76312714-536e-42c7-a231-1e92e314ba48|ee54f29a-58c2-480c-9232-72fb1d50b5dd,0.9262,candidate_id=HC_d5859063a1840a;bin=9/12
N029,1WwG6ZQQ_Yg,jaxLvOV4QjE,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,5,1851.025,1896.025,cb8718a7-d6d5-4991-8fc6-bbd120dcd51d|f0781c17-4a56-447b-b064-fa7d0900e957,0.52035,candidate_id=HC_ab57375974f05b;bin=11/12
N031,355LIXPCgEg,i5YUyHML48A,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,366.19,411.37,44f9efda-a039-43cd-9742-5ac8275eef79,0.99985,candidate_id=HC_d41d45fd66f642;bin=3/10
N031,355LIXPCgEg,i5YUyHML48A,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,719.8,765.008,ea017350-4db5-4b94-8d83-df9cd617ceb3|c0e760e6-96cd-40ee-8e83-a4447ee1c963,0.989177,candidate_id=HC_8e0c1f96543014;bin=5/10
N031,355LIXPCgEg,i5YUyHML48A,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,3,850.5,895.5,4e4d223f-86c8-4b1b-a1be-c379f4b2d757|c3b82b24-b687-44b3-8d74-66a1bfab7b5e,0.79445,candidate_id=HC_b5affe749b0bea;bin=6/10
N031,355LIXPCgEg,i5YUyHML48A,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,4,1268.925,1313.925,c164ece0-ef03-4597-a6a0-7a18e42f0f41|17257b79-9b4d-47a1-a64c-b25b788aac97,0.53165,candidate_id=HC_06fedc6bed903b;bin=8/10
N031,355LIXPCgEg,i5YUyHML48A,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,5,1444.1,1489.1,3fd437e6-3157-4ebb-ab7c-b991453f361c|0200c8b0-783f-444a-9ad9-0f80aef4a2c8,0.77105,candidate_id=HC_04bc23c6736bcb;bin=9/10
G023,81i9AucS92M,nXeoxjbSrcg,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,128.375,173.375,25441b9c-bd9b-403d-89e5-384db2ff9884,0.701,candidate_id=HC_449b000632e77c;bin=1/6
G023,81i9AucS92M,nXeoxjbSrcg,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,385.525,430.525,18137636-e8f5-4900-8219-20056b01965e|4b9c65fd-7c74-4d28-b194-2767ff5137db|fe51164b-a4a5-43e6-b586-e8e8263887d4,0.46725,candidate_id=HC_ca0215299c4914;bin=3/6
G023,81i9AucS92M,nXeoxjbSrcg,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,3,477.025,522.025,e279c121-477b-4c86-b395-cfa7e34ef486,0.6415,candidate_id=HC_3cdfcce156451f;bin=4/6
G023,81i9AucS92M,nXeoxjbSrcg,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,4,609.35,654.35,bb994ae1-87c6-4f48-a26b-c9bbc5219e50|29f1508c-7997-4dd8-93f7-8acb1d9010bd,0.7775,candidate_id=HC_91b28baff7f04d;bin=5/6
G023,81i9AucS92M,nXeoxjbSrcg,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,5,827.9,872.9,632b598f-ff8a-49a3-9da7-8633db3a2737|b41ad4e3-42eb-4f35-9e04-12f764ee0022|40763138-90e6-4d9a-88fc-25912c210c35,0.8285,candidate_id=HC_1451db5853ef6e;bin=6/6
G006,AeVP4dzq174,2hS55U-AMAQ,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,137.408,183.29,10ab904f-83f7-4ecd-941c-f98b1b686647|f84a6362-a9fa-4823-9dc0-c99a43ed564a|88388f22-dca2-4e19-bf8c-d67c62c4c555|e64c97f7-6599-489b-8feb-ec482b230b9c,0.888765,candidate_id=HC_709fe2412ee4a7;bin=4/5
G006,AeVP4dzq174,2hS55U-AMAQ,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,205.3,250.3,496eb234-012e-4b42-b601-3f3f54f2cc53|f264b5f2-f957-4947-ba2b-bc739e31d6a6,0.9475,candidate_id=HC_fb00be655f41f0;bin=5/5
G021,C8qoM6yN4OU,LPRH42Hc9Ko,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,106.475,151.475,0915bb76-d553-405d-ace9-3141ed3ec769|c5ed39b6-c071-4765-9aa1-de4d705faf2d|b1752e82-4a8a-48db-a439-85cd5dc8e406,0.6385,candidate_id=HC_53b7188b389401;bin=1/6
G021,C8qoM6yN4OU,LPRH42Hc9Ko,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,277.31,322.32,b7b9e2c3-1827-4991-938a-12368421fca5|5887d77c-0858-49a3-a813-83319f6188a0,0.693992,candidate_id=HC_8392c21d777e5b;bin=2/6
G021,C8qoM6yN4OU,LPRH42Hc9Ko,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,3,476.5,521.5,c134551d-0bcd-4178-b6d5-74e266e30b1e|58f5cdd1-2034-49a4-a29b-6aac7d0e286c|26d20062-fd83-447a-9f83-696fd6ad9fe8,0.62445,candidate_id=HC_ff7aa03faf5874;bin=4/6
G021,C8qoM6yN4OU,LPRH42Hc9Ko,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,4,685.29,730.445,ae4e4a15-2cdc-4b2e-9633-7792acb4bb60,0.686621,candidate_id=HC_1a34d11fd83b43;bin=5/6
G021,C8qoM6yN4OU,LPRH42Hc9Ko,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,5,778.9,823.9,1fbdc7f6-7155-49b6-878c-ee1f78ecc1b1|79768bc5-06ba-4a5e-b2eb-05c3424f9699|b9f9fe1d-4261-4f6a-a441-5685ddb4e8be,0.5331,candidate_id=HC_ae318239e899d8;bin=6/6
G016,D-xlw07rGEM,ub9-c5PlBIY,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,1,179.53,235.255,ed88fd4a-c2a7-4d18-abe5-6f2fa3d831fd|103df238-e900-47f2-ad54-db7d52234bca,0.723256,candidate_id=HC_6b00b4b86880f7;bin=2/9
G016,D-xlw07rGEM,ub9-c5PlBIY,b2_adaptive_coverage,b2_adaptive_coverage,hierarchical_multislate_v1,structured_no_api_proxy,2,670.045,724.631,f59a99e1-cf94-48a5-831d-885e905f7ab4|f37fa844-f176-4895-af5d-40cdb89ee5a1,0.999718,candidate_id=HC_0cbea3a3d090c7;bin=5/9
