pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,selected_scene_ids,confidence,notes
G001,PbUlNGCqBVw,OnfYDOBjYfM,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,1,104.5,149.541,b7abaf46-7ed3-4daf-842c-d954474d3042|21350449-ab3b-4aa1-a121-528313eb62f5|e774c683-f886-4fb4-aaef-e09dac39abe4|0b9fcf06-1c48-48a5-abbc-13d5ad76ebc6,0.693966,source=b2_anchor;anchor_count=4;candidate_id=HC_6cc4d4539e2357;bin=2/5
G001,PbUlNGCqBVw,OnfYDOBjYfM,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,2,183.9,228.9,e774c683-f886-4fb4-aaef-e09dac39abe4|0b9fcf06-1c48-48a5-abbc-13d5ad76ebc6|aca04e3c-eca7-4d3f-8543-97be6821ae45|7d2bc66a-3a01-4c07-a48c-5091ea401e31,0.769,source=b2_anchor;anchor_count=4;candidate_id=HC_b4876a67442c18;bin=3/5
G001,PbUlNGCqBVw,OnfYDOBjYfM,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,3,270.24,315.249,e629acd4-d7eb-4906-9bc6-bad0efe0b2da|1c0316b5-2edd-447b-9366-079d7f0dd503|1b997db4-b8b0-4786-8040-f5e2ee4d39f5,0.761992,source=b2_anchor;anchor_count=4;candidate_id=HC_0b6c514e3a06c2;bin=4/5
G001,PbUlNGCqBVw,OnfYDOBjYfM,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,4,331.764,376.797,4d050286-370d-4e38-84fc-b56d33d620f2|f8127ce0-c078-425e-b57b-c5fa44e0c654|81984ede-1ad8-4214-a001-d68d4ff2283c,0.795972,source=b2_anchor;anchor_count=4;candidate_id=HC_5379cd078f5acf;bin=4/5
G001,PbUlNGCqBVw,OnfYDOBjYfM,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,5,206.724,252.335,,0.865743,source=intrinsic_or_fill;anchor_count=4;candidate_id=HC_448ca033d8529d;bin=3/5;intrinsic=1.000000;candidate_prior=0.820991;judge_weight=0.25
G004,iEr0A1pBMKA,8RHTeRZyAms,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,1,124.805,168.9,faf46b34-2c73-42e1-a94a-60856b786cee|b61f5658-c917-4d22-aed4-5d7a0707ca52,0.999246,source=b2_anchor;anchor_count=4;candidate_id=HC_d93a1bba592ccd;bin=2/5
G004,iEr0A1pBMKA,8RHTeRZyAms,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,2,230.4,275.4,6fcc899a-b603-42fd-90b8-561074a4cdcd|676da263-42a1-4415-bbb7-278dafff40b2|bc88d19f-6b79-4e54-81bf-892492aa738c|9223d747-0e3a-4533-93e0-e72e0ee218a7,0.735,source=b2_anchor;anchor_count=4;candidate_id=HC_d17d096b24f914;bin=3/5
G004,iEr0A1pBMKA,8RHTeRZyAms,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,3,284.025,329.025,9223d747-0e3a-4533-93e0-e72e0ee218a7|52ee6834-122f-4a11-81fe-71b2e3110ec3|ac3d9d47-8b12-4ffa-a584-cdc954c2d36e,0.8298,source=b2_anchor;anchor_count=4;candidate_id=HC_c482517d935178;bin=3/5
G004,iEr0A1pBMKA,8RHTeRZyAms,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,4,356.71,406.47,ac3d9d47-8b12-4ffa-a584-cdc954c2d36e|395e2b35-5aea-4024-958d-6241f06d63d2|0cb1ac57-585d-499a-bcca-8bc33dad3eb5,0.996033,source=b2_anchor;anchor_count=4;candidate_id=HC_317da9416ae113;bin=4/5
G004,iEr0A1pBMKA,8RHTeRZyAms,b2_anchor_intrinsic_v2_augment,b2_anchor_then_intrinsic_coverage,hierarchical_multislate_listwise_v2_ko,codex_direct_development,5,442.1,487.1,,0.949,source=intrinsic_or_fill;anchor_count=4;candidate_id=HC_70563a5f58dc62;bin=5/5;intrinsic=0.962500;candidate_prior=0.944500;judge_weight=0.25
