candidate_id,pair_id,channel_name,performance_label,short_video_id,long_video_id,short_video_url,long_video_url,short_subtitle_source,short_subtitle_language,long_subtitle_source,long_subtitle_language,gold_start,gold_end,alignment_search_scope,gold_margin_sec,alignment_status,coverage,mean_match_score,predicted_start,predicted_end,predicted_start_time,predicted_end_time,source_span,short_span,segment_count,backward_jumps,excess_gap_seconds,start_error_seconds,end_error_seconds,gold_interval_iou,auto_accept
,MID001,BDNS,mid,deaqIYxGIuY,lFbfMG7vbyo,https://www.youtube.com/shorts/deaqIYxGIuY,https://www.youtube.com/watch?v=lFbfMG7vbyo,automatic,ko-orig,automatic,ko-orig,,,full_longform,,heavy_edit,1.0,91.68,455.58,737.299,07:35.580,12:17.299,281.719,41.19,2,0,232.401,,,,0
,MID002,BDNS,mid,wouDQTllpfs,YwwjT_-xxR0,https://www.youtube.com/shorts/wouDQTllpfs,https://www.youtube.com/watch?v=YwwjT_-xxR0,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,1.0,75.71,749.32,815.399,12:29.320,13:35.399,66.079,57.86,1,0,0.0,,,,1
,MID003,BDNS,mid,Dn5VpQtfM2c,UR2D-8RTh4Q,https://www.youtube.com/shorts/Dn5VpQtfM2c,https://www.youtube.com/watch?v=UR2D-8RTh4Q,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,1.0,91.49,304.979,346.5,05:04.979,05:46.500,41.521,51.209,1,0,0.0,,,,1
,MID004,BDNS,mid,7897ufDS5Is,P-qjWtLKEwE,https://www.youtube.com/shorts/7897ufDS5Is,https://www.youtube.com/watch?v=P-qjWtLKEwE,automatic,ko-orig,automatic,ko-orig,,,full_longform,,insufficient_alignment,0.0,,,,,,,,,,,,,,0
,MID005,BDNS,mid,nHabKWtzJ44,Yrdo4y6C25s,https://www.youtube.com/shorts/nHabKWtzJ44,https://www.youtube.com/watch?v=Yrdo4y6C25s,automatic,ko-orig,automatic,ko-orig,,,full_longform,,light_edit,0.9437,77.91,56.64,110.27,00:56.640,01:50.270,53.63,46.94,2,0,8.94,,,,1
,MID006,BDNS,mid,9-d5puHUO9M,475dCgzjNyE,https://www.youtube.com/shorts/9-d5puHUO9M,https://www.youtube.com/watch?v=475dCgzjNyE,automatic,ko-orig,automatic,ko-orig,,,full_longform,,heavy_edit,0.9677,85.23,49.02,105.84,00:49.020,01:45.840,56.82,44.05,3,1,36.542,,,,0
,MID007,BDNS,mid,M4tdH9WM9jA,OqGTzxl9dVc,https://www.youtube.com/shorts/M4tdH9WM9jA,https://www.youtube.com/watch?v=OqGTzxl9dVc,automatic,ko-orig,automatic,ko-orig,,,full_longform,,heavy_edit,1.0,60.0,0.75,54.37,00:00.750,00:54.370,53.62,23.15,2,0,35.4,,,,0
,MID008,BDNS,mid,PY3YiviECBU,dYr0QASwhTs,https://www.youtube.com/shorts/PY3YiviECBU,https://www.youtube.com/watch?v=dYr0QASwhTs,missing,,automatic,ko-orig,,,,,missing_subtitle,,,,,,,,,,,,,,,0
,MID009,OOTB,mid,DnfJdOHTUeI,0F_QvmClgOU,https://www.youtube.com/shorts/DnfJdOHTUeI,https://www.youtube.com/watch?v=0F_QvmClgOU,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,1.0,94.04,457.8,487.52,07:37.800,08:07.520,29.72,33.5,1,0,0.0,,,,1
,MID010,OOTB,mid,UTynNRwKBlo,YhhGNP_4N4M,https://www.youtube.com/shorts/UTynNRwKBlo,https://www.youtube.com/watch?v=YhhGNP_4N4M,automatic,ko-orig,automatic,ko-orig,,,full_longform,,light_edit,1.0,80.0,933.899,985.279,15:33.899,16:25.279,51.38,57.349,2,0,26.9,,,,1
,MID011,OOTB,mid,mqJp57X-OJ4,sbf2fQpuaVY,https://www.youtube.com/shorts/mqJp57X-OJ4,https://www.youtube.com/watch?v=sbf2fQpuaVY,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,0.8219,89.66,46.92,88.619,00:46.920,01:28.619,41.699,34.58,1,0,13.13,,,,1
,MID012,OOTB,mid,M5se-hCs8rE,RxGCmd9VqF4,https://www.youtube.com/shorts/M5se-hCs8rE,https://www.youtube.com/watch?v=RxGCmd9VqF4,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,1.0,90.36,1101.059,1157.16,18:21.059,19:17.160,56.101,54.96,1,0,0.0,,,,1
,MID013,안원잘부,mid,m-MBLSS70x0,Ew4jW_X40Hk,https://www.youtube.com/shorts/m-MBLSS70x0,https://www.youtube.com/watch?v=Ew4jW_X40Hk,automatic,ja-orig,automatic,ko-orig,,,full_longform,,insufficient_alignment,0.0,,,,,,,,,,,,,,0
,MID014,안원잘부,mid,P5hyRkrFUSY,IpoR_xlslLI,https://www.youtube.com/shorts/P5hyRkrFUSY,https://www.youtube.com/watch?v=IpoR_xlslLI,automatic,ja-orig,automatic,en-orig,,,full_longform,,insufficient_alignment,0.0,,,,,,,,,,,,,,0
,MID015,워크맨,mid,Ab2ZSmjbebg,Zeuzp5EAsR0,https://www.youtube.com/shorts/Ab2ZSmjbebg,https://www.youtube.com/watch?v=Zeuzp5EAsR0,automatic,ko-orig,automatic,en-orig,,,full_longform,,insufficient_alignment,0.0,,,,,,,,,,,,,,0
,MID016,피식대학,mid,MQbXKXx4epI,qJytqE1G2ac,https://www.youtube.com/shorts/MQbXKXx4epI,https://www.youtube.com/watch?v=qJytqE1G2ac,automatic,ko-orig,automatic,ko-orig,,,full_longform,,continuous,1.0,95.3,211.68,234.86,03:31.680,03:54.860,23.18,23.18,1,0,1.56,,,,1
