pair_id,channel_name,short_video_id,long_video_id,short_duration_sec,long_duration_sec,long_title,short_languages,long_languages,chosen_language,language_choice_reason,short_cue_count,long_cue_count,alignment_status,coverage,mean_match_score,predicted_start,predicted_end,predicted_start_time,predicted_end_time,source_span,segment_count,backward_jumps,span_verdict,span_ratio,accept,needs_gemini
MID001,BDNS,deaqIYxGIuY,lFbfMG7vbyo,50,981,"[오당기] 주호민과 함께 오지 않는 김치찜을 기다리며(주펄, 상남자, 대인배, 웹툰 작가, 슬램덩크, 신과 함께, 하이볼 제조법)","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,18,347,heavy_edit,1.0,91.68,455.58,737.299,07:35.580,12:17.299,281.719,2,0,span_implausible,5.634,0,1
MID002,BDNS,wouDQTllpfs,YwwjT_-xxR0,59,17225,뭐라도 하는 문이병의 군인 vlog 5시간 몰아보기,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,21,5248,continuous,1.0,75.71,749.32,815.399,12:29.320,13:35.399,66.079,1,0,plausible,1.12,1,0
MID003,BDNS,Dn5VpQtfM2c,UR2D-8RTh4Q,58,1024,"[오당기] 김다미와 함께 오지 않는 프로슈토 피자를 기다리며 (내향형 인간, 학창시절, 집순이 루틴, 담다디, 강변가요제, 올인, 아파트 야시장, 선물교환, 소울메이트)","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,15,370,continuous,1.0,91.49,304.979,346.5,05:04.979,05:46.500,41.521,1,0,plausible,0.716,1,0
MID004,BDNS,7897ufDS5Is,P-qjWtLKEwE,59,1078,[홈비디오]Post Show Blues(공연 후 우울) 극복하는 법!,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,24,241,insufficient_alignment,0.0,,,,,,,,,unknown,,0,1
MID005,BDNS,nHabKWtzJ44,Yrdo4y6C25s,53,162,[문쌤] J들이 보면 대노하는 영상,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,27,66,light_edit,0.9437,77.91,56.64,110.27,00:56.640,01:50.270,53.63,2,0,plausible,1.012,1,0
MID006,BDNS,9-d5puHUO9M,475dCgzjNyE,45,386,너 내가 1분에 얼마 버는지 알아?,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,23,113,heavy_edit,0.9677,85.23,49.02,105.84,00:49.020,01:45.840,56.82,3,1,plausible,1.263,0,0
MID007,BDNS,M4tdH9WM9jA,OqGTzxl9dVc,32,60,상훈이 엄마 장경자 매드무비,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,5,23,heavy_edit,1.0,60.0,0.75,54.37,00:00.750,00:54.370,53.62,2,0,span_long_review,1.676,0,0
MID008,BDNS,PY3YiviECBU,dYr0QASwhTs,58,956,"[복학생 vlog] 이별 15일차💔 후유증 브이로그(홀로서기, 인스타 염탐, 돌싱글즈, 좋니 레전드 커버, 카톡 읽씹 차단, 재회 주파수, 찌니꾸 돌아와)",,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",,no_shared_language,,,no_shared_language,,,,,,,,,,,,,1
MID009,OOTB,DnfJdOHTUeI,0F_QvmClgOU,36,1222,[EN] 80°C에서 정신이 홀란스러워졌습니다  {찜질방 VIP} | 상팔자 ep.7,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,11,414,continuous,1.0,94.04,457.8,487.52,07:37.800,08:07.520,29.72,1,0,plausible,0.826,1,0
MID010,OOTB,UTynNRwKBlo,YhhGNP_4N4M,59,1329,[EN] 에버랜드 VIP는 어디까지 해줄까? {에버랜드 VIP} l 상팔자 ep.5,"aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu","aa,ab,af,ak,am,ar,as,ay,az,ba,be,bg,bho,bn,bo,br,bs,ca,ceb,co,crs,cs,cy,da,de,dv,dz,ee,el,en,eo,es,et,eu,fa,fi,fil,fj,fo,fr,fy,ga,gaa,gd,gl,gn,gu,gv,ha,haw,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iu,iw,ja,jv,ka,kha,kk,kl,km,kn,ko,ko-orig,kri,ku,ky,la,lb,lg,ln,lo,lt,lua,luo,lv,mfe,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,new,nl,no,nso,ny,oc,om,or,os,pa,pam,pl,ps,pt,pt-PT,qu,rn,ro,ru,rw,sa,sd,sg,si,sk,sl,sm,sn,so,sq,sr,ss,st,su,sv,sw,ta,te,tg,th,ti,tk,tn,to,tr,ts,tt,tum,ug,uk,ur,uz,ve,vi,war,wo,xh,yi,yo,zh-Hans,zh-Hant,zu",ko-orig,preference_order,8,420,light_edit,1.0,80.0,933.899,985.279,15:33.899,16:25.279,51.38,2,0,plausible,0.871,1,0
