candidate_id,opening_pull,body_strength,boundary_integrity,judge_score_100,confidence_1_5,transcript_intelligibility,boundary_observability
C_10942df5b9a611,33,48,22,34.333,3,3,4
C_1974865883eee0,71,74,76,73.667,4,5,4
C_1bc72ee5d290cc,52,72,48,57.333,3,3,4
C_277df4844362e1,30,55,28,37.667,3,3,4
C_27f17466563176,18,26,14,19.333,2,2,4
C_2ac88d7a5dd028,42,58,44,48.0,4,4,4
C_2c6ef4ac5ccb91,34,55,40,43.0,3,3,4
C_316ed9c3bf10ba,32,52,38,40.667,3,3,4
C_3282c045450550,28,70,45,47.667,4,4,4
C_359c5677ec565b,33,48,30,37.0,3,3,3
C_39e9ad74b67fff,58,66,42,55.333,4,4,4
C_3b4ab99fff5f32,31,60,38,43.0,3,3,4
C_3eb40628d9953e,26,50,30,35.333,3,3,4
C_4168d190df4080,55,72,44,57.0,4,4,4
C_4479c41b6aa80d,62,60,68,63.333,4,4,3
C_4ef5f86240b3b8,24,66,30,40.0,3,3,4
C_510cbfc1c2b8bb,57,68,38,54.333,3,3,4
C_519202486aef76,48,38,62,49.333,3,3,3
C_5650522e7238b1,46,70,42,52.667,3,3,4
C_5e40d4cd1b96d9,34,58,34,42.0,3,3,4
C_6151485ea53157,56,72,60,62.667,3,3,4
C_6d1508f47e83f3,30,42,32,34.667,3,3,4
C_6d29fcb898db1b,62,62,44,56.0,4,4,4
C_6dcfd006a3b838,40,58,26,41.333,3,3,4
C_71fff5aa4444f6,32,36,55,41.0,4,4,4
C_752c5a1a81ff94,34,76,34,48.0,4,3,4
C_848f271df1072b,44,58,62,54.667,4,4,4
C_86ec19dffd0205,26,34,24,28.0,2,2,4
C_87c2f9c2d22522,78,74,82,78.0,5,5,4
C_88efb28987c87c,66,64,40,56.667,4,4,4
C_8bcb45246410f1,30,68,34,44.0,3,3,4
C_8c5c28ef7a8d25,28,62,26,38.667,3,3,4
C_8f62a6194404c2,52,55,38,48.333,3,3,4
C_95b3f76511987c,20,60,32,37.333,4,4,4
C_9da417f1ef3561,54,70,40,54.667,4,4,4
C_9dec2b4bead825,34,58,26,39.333,3,3,4
C_a4b87cdb250646,14,44,55,37.667,3,3,3
C_b0e29ac062bee8,46,66,30,47.333,3,3,4
C_baa3092bf3740e,40,64,30,44.667,3,3,4
C_bd265b157d0146,28,68,28,41.333,3,3,4
C_bdb61bcc855d1b,36,42,24,34.0,3,3,4
C_c0b26784941e91,48,74,70,64.0,4,4,4
C_c1fbadec73b4bb,24,44,24,30.667,3,3,4
C_c3f86bdf30fa21,58,62,42,54.0,3,3,4
C_c42679c7b946fc,44,42,38,41.333,3,3,4
C_d0ff00317e20b0,32,52,28,37.333,4,4,4
C_d1155bf44e11df,22,54,24,33.333,3,3,4
C_d28e1489f145b8,40,58,46,48.0,4,4,4
C_da0b2ff5d3f7d3,30,32,40,34.0,2,2,4
C_e2ac6ed9f42799,46,66,36,49.333,3,3,4
C_e4c2efd45e27dd,18,40,16,24.667,3,3,4
C_e5d94dcfd123c3,22,52,22,32.0,3,3,4
C_e6191f6820bdb7,20,66,26,37.333,3,3,4
C_e7426acca34adc,16,42,18,25.333,3,3,4
C_ef1eb9f418973d,42,56,46,48.0,3,3,4
C_f042310a37676d,22,40,20,27.333,2,2,4
C_f0c8d907c9715e,52,68,56,58.667,3,3,4
C_f172381d095fcf,26,32,40,32.667,2,2,3
C_f9645ed47107f3,38,68,34,46.667,4,4,4
C_fb81a9fbf8ede3,24,30,24,26.0,3,3,3
C_fb9d53c40ca373,26,60,30,38.667,3,3,4
C_6cf2a108cf394e,44,56,40,46.667,3,3,4
C_7cfa0a88337df6,26,54,26,35.333,3,3,4
C_e8221b95e409a4,50,50,36,45.333,2,2,4
C_39a82e243f2103,44,66,22,44.0,4,4,4
C_690684f222062e,44,32,44,40.0,3,3,4
C_8745eb5a0719a3,26,36,30,30.667,2,2,3
C_e1d06dcd792841,36,66,30,44.0,3,3,4
C_efa86f1b807ef1,56,66,62,61.333,4,4,4
C_772236c026ac0c,52,42,38,44.0,3,3,4
C_785c002322dbc7,34,40,22,32.0,3,3,3
C_e6e490427ee78c,30,48,22,33.333,2,2,4
C_1687adea0a2c5b,58,64,42,54.667,3,3,4
C_176849361f0c61,30,48,24,34.0,3,3,4
C_946257cbfa23f9,26,54,44,41.333,3,3,4
C_5c7fcb3d3f4514,26,70,24,40.0,3,3,4
C_51db5755c011b6,56,78,52,62.0,5,5,4
C_947db9c531bc4c,32,66,30,42.667,3,3,3
C_88926face12336,38,34,30,34.0,3,3,4
C_978ec671514f85,42,28,30,33.333,2,2,4
C_b8e9377348a4d1,40,50,38,42.667,3,3,4
C_9852c4563a8afd,24,62,26,37.333,3,3,4
C_2275d7bbc3b07c,22,36,22,26.667,2,2,4
C_25663ed5ec5fde,50,68,40,52.667,4,4,4
C_b14489ea01c297,46,50,50,48.667,3,3,4
C_659cef21638a4e,36,54,26,38.667,3,3,4
C_41ce293c074988,34,50,26,36.667,3,3,4
C_c7ca72128f4b08,48,50,34,44.0,3,3,4
C_f779f7e6f45455,54,44,36,44.667,3,4,4
C_0c06bb407232ac,52,52,54,52.667,4,4,4
C_fa384f55cffc55,24,66,32,40.667,3,3,4
C_6e8b8a5db34331,30,56,34,40.0,3,3,4
C_a19afcf67ff1c7,42,48,28,39.333,3,3,4
C_0f923917c424de,42,70,40,50.667,4,4,4
