channel_name,short_video_id,short_video_url,long_video_id,long_video_url,pair_id,performance_label,channel_performance_percentile,percentile_bucket,short_title,metadata_duration_sec
BDNS,deaqIYxGIuY,https://www.youtube.com/shorts/deaqIYxGIuY,lFbfMG7vbyo,https://www.youtube.com/watch?v=lFbfMG7vbyo,MID001,mid,29.7,p20_40,주펄식 싯다운 코미디,50
BDNS,wouDQTllpfs,https://www.youtube.com/shorts/wouDQTllpfs,YwwjT_-xxR0,https://www.youtube.com/watch?v=YwwjT_-xxR0,MID002,mid,33.3,p20_40,5월 11일 날 뭐해?,59
BDNS,Dn5VpQtfM2c,https://www.youtube.com/shorts/Dn5VpQtfM2c,UR2D-8RTh4Q,https://www.youtube.com/watch?v=UR2D-8RTh4Q,MID003,mid,48.1,p40_60,김다미 씨는 그런 적(?) 없으시죠?,58
BDNS,7897ufDS5Is,https://www.youtube.com/shorts/7897ufDS5Is,P-qjWtLKEwE,https://www.youtube.com/watch?v=P-qjWtLKEwE,MID004,mid,49.2,p40_60,중고 거래 사기 모음집,59
BDNS,nHabKWtzJ44,https://www.youtube.com/shorts/nHabKWtzJ44,Yrdo4y6C25s,https://www.youtube.com/watch?v=Yrdo4y6C25s,MID005,mid,49.8,p40_60,mbti P가 보는 J 특:,53
BDNS,9-d5puHUO9M,https://www.youtube.com/shorts/9-d5puHUO9M,475dCgzjNyE,https://www.youtube.com/watch?v=475dCgzjNyE,MID006,mid,50.9,p40_60,내가 대학을 잘 가라고 했어? | 문쌤 | 동기부여 | 명언모음집,45
BDNS,M4tdH9WM9jA,https://www.youtube.com/shorts/M4tdH9WM9jA,OqGTzxl9dVc,https://www.youtube.com/watch?v=OqGTzxl9dVc,MID007,mid,52.3,p40_60,어버이날 특집 효자 브이로그,32
BDNS,PY3YiviECBU,https://www.youtube.com/shorts/PY3YiviECBU,dYr0QASwhTs,https://www.youtube.com/watch?v=dYr0QASwhTs,MID008,mid,52.3,p40_60,[일소라] 최근 이별한 복학생 형 제보합니다...  '좋니' (윤종신) cover,58
OOTB,DnfJdOHTUeI,https://www.youtube.com/shorts/DnfJdOHTUeI,0F_QvmClgOU,https://www.youtube.com/watch?v=0F_QvmClgOU,MID009,mid,30.1,p20_40,VIP 샤워실도 예외 없음,36
OOTB,UTynNRwKBlo,https://www.youtube.com/shorts/UTynNRwKBlo,YhhGNP_4N4M,https://www.youtube.com/watch?v=YhhGNP_4N4M,MID010,mid,30.1,p20_40,네이마르 추천(?) 받고 에버랜드 온 홀란드,59
OOTB,mqJp57X-OJ4,https://www.youtube.com/shorts/mqJp57X-OJ4,sbf2fQpuaVY,https://www.youtube.com/watch?v=sbf2fQpuaVY,MID011,mid,50.1,p40_60,극 내향인들이 기 빨릴 때,51
OOTB,M5se-hCs8rE,https://www.youtube.com/shorts/M5se-hCs8rE,RxGCmd9VqF4,https://www.youtube.com/watch?v=RxGCmd9VqF4,MID012,mid,70.1,p60_80,"옷에 2,000만 원 쓰는 학과",55
안원잘부,m-MBLSS70x0,https://www.youtube.com/shorts/m-MBLSS70x0,Ew4jW_X40Hk,https://www.youtube.com/watch?v=Ew4jW_X40Hk,MID013,mid,70.0,p60_80,오늘은생일입니다잘부탁드립니다,68
안원잘부,P5hyRkrFUSY,https://www.youtube.com/shorts/P5hyRkrFUSY,IpoR_xlslLI,https://www.youtube.com/watch?v=IpoR_xlslLI,MID014,mid,71.4,p60_80,루카루카나이트피버,37
워크맨,Ab2ZSmjbebg,https://www.youtube.com/shorts/Ab2ZSmjbebg,Zeuzp5EAsR0,https://www.youtube.com/watch?v=Zeuzp5EAsR0,MID015,mid,69.8,p60_80,갑분 간장게장 ASMR,27
피식대학,MQbXKXx4epI,https://www.youtube.com/shorts/MQbXKXx4epI,qJytqE1G2ac,https://www.youtube.com/watch?v=qJytqE1G2ac,MID016,mid,30.1,p20_40,자기전에 무조건 생각 나는 재미난 이야기,24
피식대학,02Y7z_3_tX0,https://www.youtube.com/shorts/02Y7z_3_tX0,Dc04VdKLleM,https://www.youtube.com/watch?v=Dc04VdKLleM,MID017,mid,50.0,p40_60,LA현지에서 난리난 K팝 상황!,46
피식대학,bxToIBbK4uk,https://www.youtube.com/shorts/bxToIBbK4uk,i8zxaQf7GMY,https://www.youtube.com/watch?v=i8zxaQf7GMY,MID018,mid,70.7,p60_80,광기의 유년기,38
