channel_name,short_video_id,short_video_url,long_video_id,long_video_url,pair_id,percentile_bucket,channel_performance_percentile,metadata_duration_sec,short_title,upload_date,short_views
OOTB,p2FvA01mUcM,https://www.youtube.com/shorts/p2FvA01mUcM,1LrKHwLJiqg,https://www.youtube.com/watch?v=1LrKHwLJiqg,MMID001,p40_60,50.1,38,일반인 VS 야구선수 달리기 게임,20240917,223000
OOTB,bcPBWxRTiek,https://www.youtube.com/shorts/bcPBWxRTiek,HbI8vWmvtmk,https://www.youtube.com/watch?v=HbI8vWmvtmk,MMID002,p60_80,70,19,정치 얘기할 때 말조심 해야하는 이유,20240413,781000
숏박스,t9BFuzLzKM0,https://www.youtube.com/shorts/t9BFuzLzKM0,GCpOvMasiXw,https://www.youtube.com/watch?v=GCpOvMasiXw,MMID003,p20_40,29.1,55,제 턱이 그렇게 큰가요?,20260121,640000
숏박스,lIrTQvG3jx8,https://www.youtube.com/shorts/lIrTQvG3jx8,raGhNxdrKao,https://www.youtube.com/watch?v=raGhNxdrKao,MMID004,p20_40,30.9,48,처음부터 말을 하라고,20260308,642000
숏박스,GNME7jLUCdE,https://www.youtube.com/shorts/GNME7jLUCdE,zWpWm-J8ZDY,https://www.youtube.com/watch?v=zWpWm-J8ZDY,MMID005,p40_60,49.1,57,한 입만 먹을게요,20260222,954000
숏박스,8uyeiurpplI,https://www.youtube.com/shorts/8uyeiurpplI,jMPnvkzK6i8,https://www.youtube.com/watch?v=jMPnvkzK6i8,MMID006,p40_60,50.9,43,다 필요한 거 아니야?,20260527,973000
숏박스,HkjARgPReVU,https://www.youtube.com/shorts/HkjARgPReVU,OvPkbhBmRgY,https://www.youtube.com/watch?v=OvPkbhBmRgY,MMID007,p60_80,69.1,45,홈쇼핑 공감,20260701,1800000
숏박스,OdsJSPsBfR0,https://www.youtube.com/shorts/OdsJSPsBfR0,8OJ85Ue6RaU,https://www.youtube.com/watch?v=8OJ85Ue6RaU,MMID008,p60_80,69.1,47,쇼미더머니 예선 공감,20260610,1800000
숏박스,W-xME6cNnNo,https://www.youtube.com/shorts/W-xME6cNnNo,aXTkswSxmQs,https://www.youtube.com/watch?v=aXTkswSxmQs,MMID009,p60_80,69.1,36,그냥 퇴사하겠습니다,20260304,1800000
안원잘부,tDs3mcabrFM,https://www.youtube.com/shorts/tDs3mcabrFM,Yy58f1A6F-c,https://www.youtube.com/watch?v=Yy58f1A6F-c,MMID010,p20_40,28.6,55,좋지 않아?,20260704,970000
안원잘부,qzhjmlxNl8s,https://www.youtube.com/shorts/qzhjmlxNl8s,5spDxl-yzUQ,https://www.youtube.com/watch?v=5spDxl-yzUQ,MMID011,p20_40,30,29,Geoje's Iron Fist Yankee,20260710,1000000
안원잘부,4ciHuGLi_1I,https://www.youtube.com/shorts/4ciHuGLi_1I,Yy58f1A6F-c,https://www.youtube.com/watch?v=Yy58f1A6F-c,MMID012,p20_40,31.4,27,SENPAI!,20260704,1100000
안원잘부,QQmGNdNgs8w,https://www.youtube.com/shorts/QQmGNdNgs8w,NS7tSrMrWsc,https://www.youtube.com/watch?v=NS7tSrMrWsc,MMID013,p40_60,48.6,36,Isn't this a big problem?,20260503,1600000
워크맨,ATdkbhtEkrk,https://www.youtube.com/shorts/ATdkbhtEkrk,xF72kpVbh0M,https://www.youtube.com/watch?v=xF72kpVbh0M,MMID014,p20_40,29.9,37,이런 음료 있으면 먹는다 VS 안먹는다,20250522,74000
워크맨,PI33dfFDQew,https://www.youtube.com/shorts/PI33dfFDQew,eoa18_DDNPc,https://www.youtube.com/watch?v=eoa18_DDNPc,MMID015,p20_40,29.9,35,라이브 도중 사고친 조우찬,20251216,74000
워크맨,ekTzKD7xAhk,https://www.youtube.com/shorts/ekTzKD7xAhk,sH_0dfHqsOI,https://www.youtube.com/watch?v=sH_0dfHqsOI,MMID016,p20_40,29.9,54,Is this Son Heung-min or Hanna Kang?,20250423,74000
워크맨,LoCC5GN5568,https://www.youtube.com/shorts/LoCC5GN5568,uNOb_g9KNrA,https://www.youtube.com/watch?v=uNOb_g9KNrA,MMID017,p40_60,50.3,35,진정한 자유 여행,20231114,110000
워크맨,NCm5UCee1x8,https://www.youtube.com/shorts/NCm5UCee1x8,x2B5WFLHgtI,https://www.youtube.com/watch?v=x2B5WFLHgtI,MMID018,p60_80,70,31,제왑삐 금지령,20250301,201000
워크맨,-KwnmGBZz-g,https://www.youtube.com/shorts/-KwnmGBZz-g,DMjJARw9Ap8,https://www.youtube.com/watch?v=DMjJARw9Ap8,MMID019,p60_80,70.1,22,태구님 MBTI가 뭐에요? #shorts,20250617,202000
피식대학,XkIZ5XuyOwI,https://www.youtube.com/shorts/XkIZ5XuyOwI,gHox6hv3H2I,https://www.youtube.com/watch?v=gHox6hv3H2I,MMID020,p60_80,70.7,30,부산이 환한 충격적인 이유,20231219,1100000
피식대학,hwq5o0_jtLU,https://www.youtube.com/shorts/hwq5o0_jtLU,EkCY92AlzqU,https://www.youtube.com/watch?v=EkCY92AlzqU,MMID021,p60_80,70.7,49,해외로 뻗어나가는 전두길,20240305,1100000
안원잘부,jesKrPOh9aE,https://www.youtube.com/shorts/jesKrPOh9aE,heifaIjlSUc,https://www.youtube.com/watch?v=heifaIjlSUc,MMID022,p40_60,51.4,60,The process of becoming a Gyaru,20260322,1600000
