channel_name,long_video_id,long_video_url,short_video_id,pair_id,vpick_project_id,vpick_asset_id
OOTB,1LrKHwLJiqg,https://www.youtube.com/watch?v=1LrKHwLJiqg,p2FvA01mUcM,MMID001,,
OOTB,HbI8vWmvtmk,https://www.youtube.com/watch?v=HbI8vWmvtmk,bcPBWxRTiek,MMID002,,
숏박스,GCpOvMasiXw,https://www.youtube.com/watch?v=GCpOvMasiXw,t9BFuzLzKM0,MMID003,,
숏박스,raGhNxdrKao,https://www.youtube.com/watch?v=raGhNxdrKao,lIrTQvG3jx8,MMID004,01e8de41-2d33-4a72-916b-da868b8331ff,4087fd79-56bb-4d99-9546-38e75c13b5d0
숏박스,zWpWm-J8ZDY,https://www.youtube.com/watch?v=zWpWm-J8ZDY,GNME7jLUCdE,MMID005,,
숏박스,jMPnvkzK6i8,https://www.youtube.com/watch?v=jMPnvkzK6i8,8uyeiurpplI,MMID006,,
숏박스,OvPkbhBmRgY,https://www.youtube.com/watch?v=OvPkbhBmRgY,HkjARgPReVU,MMID007,01e8de41-2d33-4a72-916b-da868b8331ff,bde981a6-76a6-4615-90fe-1f5a12b9019c
숏박스,8OJ85Ue6RaU,https://www.youtube.com/watch?v=8OJ85Ue6RaU,OdsJSPsBfR0,MMID008,01e8de41-2d33-4a72-916b-da868b8331ff,d416dc0a-0bd4-4010-bcb8-f71dfd3eb306
숏박스,aXTkswSxmQs,https://www.youtube.com/watch?v=aXTkswSxmQs,W-xME6cNnNo,MMID009,01e8de41-2d33-4a72-916b-da868b8331ff,09bcecc8-a75c-497c-be2f-725bf914a3c8
안원잘부,Yy58f1A6F-c,https://www.youtube.com/watch?v=Yy58f1A6F-c,tDs3mcabrFM,MMID010,,
안원잘부,5spDxl-yzUQ,https://www.youtube.com/watch?v=5spDxl-yzUQ,qzhjmlxNl8s,MMID011,01e8de41-2d33-4a72-916b-da868b8331ff,81f7f0ff-6c11-4b27-8679-474b6e088e99
안원잘부,NS7tSrMrWsc,https://www.youtube.com/watch?v=NS7tSrMrWsc,QQmGNdNgs8w,MMID013,,
워크맨,xF72kpVbh0M,https://www.youtube.com/watch?v=xF72kpVbh0M,ATdkbhtEkrk,MMID014,,
워크맨,eoa18_DDNPc,https://www.youtube.com/watch?v=eoa18_DDNPc,PI33dfFDQew,MMID015,01e8de41-2d33-4a72-916b-da868b8331ff,51bf5173-cc04-475a-a1bf-7c9acaeaeb20
워크맨,sH_0dfHqsOI,https://www.youtube.com/watch?v=sH_0dfHqsOI,ekTzKD7xAhk,MMID016,01e8de41-2d33-4a72-916b-da868b8331ff,af9fb131-0e0a-4a2b-906e-e9304c6f7b55
워크맨,uNOb_g9KNrA,https://www.youtube.com/watch?v=uNOb_g9KNrA,LoCC5GN5568,MMID017,01e8de41-2d33-4a72-916b-da868b8331ff,88d6ac1d-3af1-4385-9611-14ca80311626
워크맨,x2B5WFLHgtI,https://www.youtube.com/watch?v=x2B5WFLHgtI,NCm5UCee1x8,MMID018,,
워크맨,DMjJARw9Ap8,https://www.youtube.com/watch?v=DMjJARw9Ap8,-KwnmGBZz-g,MMID019,,
피식대학,gHox6hv3H2I,https://www.youtube.com/watch?v=gHox6hv3H2I,XkIZ5XuyOwI,MMID020,,
피식대학,EkCY92AlzqU,https://www.youtube.com/watch?v=EkCY92AlzqU,hwq5o0_jtLU,MMID021,,
안원잘부,heifaIjlSUc,https://www.youtube.com/watch?v=heifaIjlSUc,jesKrPOh9aE,MMID022,01e8de41-2d33-4a72-916b-da868b8331ff,a495ea38-eb4f-4e3a-88ca-baf65fda8cdc
