long_video_id,run_id,selector_type,prompt_id,model_name,gold_pair_count,core_recall_at_1,core_recall_at_3,core_recall_at_5,core_recall_at_10,core_recall_at_12,core_recall_at_20,core_recall_at_30,core_recall_at_50,core_recall_at_60,core_recall_at_120,tight_recall_at_3,tight_recall_at_5,tight_recall_at_10,tight_recall_at_12,tight_recall_at_20,tight_recall_at_30,tight_recall_at_50,tight_recall_at_60,tight_recall_at_120,mean_best_iou_at_3,mean_best_iou_at_5,mean_best_iou_at_10,mean_best_iou_at_12,mean_best_iou_at_20,mean_best_iou_at_30,mean_best_iou_at_50,mean_best_iou_at_60,mean_best_iou_at_120
5Vnj42O0s0M,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916,0.4445037116059916
81i9AucS92M,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463,0.45701796988829463
C8qoM6yN4OU,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033,0.31104199066874033
D-xlw07rGEM,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K3jHdrfM6l4,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506,0.7277611940298506
KHzVHQipZCg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NU5X-txt9uU,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_lecture,gpt-4o-mini,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PbUlNGCqBVw,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399,0.6314779270633399
cJiYXnMtYl0,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429,0.1657541815259429
gyMxiDXARbI,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
