pair_id,long_video_id,short_video_id,run_id,selector_type,prompt_id,model_name,rank,pred_start_sec,pred_end_sec,pred_duration_sec,gold_start_sec,gold_end_sec,gold_duration_sec,overlap_sec,gold_coverage,temporal_iou,start_error_sec,end_error_sec,center_error_sec,length_score,start_score,core_hit,tight_hit,final_score,selected_scene_ids,confidence,notes
G024,5Vnj42O0s0M,Do2V1iG8X2Y,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,225.07,270.064,44.99400000000003,244.0,264.0,20.0,20.0,1.0,0.4445037116059916,18.930000000000007,6.064000000000021,6.432999999999993,0.4445037116059916,0.0,True,True,62.78014846423966,b4462cce-f18b-4e56-8d8c-da4e9c7dd73b|6eb077e2-d414-4fb2-905a-b540cdaf7f5d,5,"candidate_id=5Vnj42O0s0M_cand_01; detected_language=ko; detected_genre=variety_vlog; original_start=225.07; original_end=270.064; adjusted=False; 대화가 자연스럽고, 나이와 술에 대한 반응이 유쾌하게 이어져 흥미를 끌 수 있음."
G024,5Vnj42O0s0M,Do2V1iG8X2Y,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,420.75,465.75,45.0,244.0,264.0,20.0,0.0,0.0,0.0,176.75,201.75,189.25,0.4444444444444444,0.0,False,False,4.444444444444445,dec608cc-4fa2-4c46-891f-19fd604209e0,4,candidate_id=5Vnj42O0s0M_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=420.75; original_end=465.75; adjusted=False; 고객 응대법을 배우는 장면으로 실습이 포함되어 있어 교육적이면서도 재미있음.
G024,5Vnj42O0s0M,Do2V1iG8X2Y,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,3,544.4,589.4,45.0,244.0,264.0,20.0,0.0,0.0,0.0,300.4,325.4,312.9,0.4444444444444444,0.0,False,False,4.444444444444445,1af2f88e-c09c-4872-a759-84d84e13f693|e08a79bd-5e39-4961-aa7d-433df765e72a|67d7c931-939c-4831-94f8-b53c08c88517,4,"candidate_id=5Vnj42O0s0M_cand_03; detected_language=ko; detected_genre=variety_vlog; original_start=544.4; original_end=589.4; adjusted=False; 팬들과의 대화와 배려가 돋보이며, 아이돌과의 관계를 잘 보여줌."
G024,5Vnj42O0s0M,Do2V1iG8X2Y,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,4,670.077,715.64,45.56299999999999,244.0,264.0,20.0,0.0,0.0,0.0,426.077,451.64,438.85850000000005,0.4389526589557317,0.0,False,False,4.389526589557318,11e9130e-2672-4343-a16f-671c15df167d|e6f3689c-804d-4798-b55f-c198d631fd2c|8c3b9c4f-411e-4634-aa90-9b3ed1956978,4,candidate_id=5Vnj42O0s0M_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=670.077; original_end=715.64; adjusted=False; 풍선 부는 법과 고객 응대 교육이 유쾌하게 진행되어 흥미를 유발함.
G024,5Vnj42O0s0M,Do2V1iG8X2Y,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,5,700.075,745.075,45.0,244.0,264.0,20.0,0.0,0.0,0.0,456.07500000000005,481.07500000000005,468.57500000000005,0.4444444444444444,0.0,False,False,4.444444444444445,e6f3689c-804d-4798-b55f-c198d631fd2c|8c3b9c4f-411e-4634-aa90-9b3ed1956978,4,"candidate_id=5Vnj42O0s0M_cand_05; detected_language=ko; detected_genre=variety_vlog; original_start=700.075; original_end=745.075; adjusted=False; 아이돌 활동 중의 뿌듯한 경험을 공유하며, 유머가 섞인 대화가 매력적임."
G023,81i9AucS92M,nXeoxjbSrcg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,1,123.5,168.5,45.0,407.0,437.0,30.0,0.0,0.0,0.0,283.5,268.5,276.0,0.6666666666666666,0.0,False,False,6.666666666666667,25441b9c-bd9b-403d-89e5-384db2ff9884,5,candidate_id=81i9AucS92M_cand_01; detected_language=ko; detected_genre=variety_vlog; original_start=123.5; original_end=168.5; adjusted=False; 차에 대한 개인적인 이야기와 드림카에 대한 대화가 자연스럽게 이어져 흥미를 유발함.
G023,81i9AucS92M,nXeoxjbSrcg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,2,385.525,430.525,45.0,407.0,437.0,30.0,23.524999999999977,0.7841666666666659,0.45701796988829463,21.475000000000023,6.475000000000023,13.975000000000023,0.6666666666666666,0.0,True,True,55.66470576331547,18137636-e8f5-4900-8219-20056b01965e|4b9c65fd-7c74-4d28-b194-2767ff5137db|fe51164b-a4a5-43e6-b586-e8e8263887d4,4,candidate_id=81i9AucS92M_cand_02; detected_language=ko; detected_genre=variety_vlog; original_start=385.525; original_end=430.525; adjusted=False; 정비소에서의 실질적인 상황과 유머가 결합되어 시청자의 흥미를 끌 수 있음.
G023,81i9AucS92M,nXeoxjbSrcg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,3,477.025,522.025,45.0,407.0,437.0,30.0,0.0,0.0,0.0,70.02499999999998,85.02499999999998,77.52499999999998,0.6666666666666666,0.0,False,False,6.666666666666667,e279c121-477b-4c86-b395-cfa7e34ef486,4,candidate_id=81i9AucS92M_cand_03; detected_language=ko; detected_genre=variety_vlog; original_start=477.025; original_end=522.025; adjusted=False; 세대 간의 차이와 자동차 브랜드에 대한 대화가 흥미롭고 다양한 의견이 나옴.
G023,81i9AucS92M,nXeoxjbSrcg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,4,609.35,654.35,45.0,407.0,437.0,30.0,0.0,0.0,0.0,202.35000000000002,217.35000000000002,209.85000000000002,0.6666666666666666,0.0,False,False,6.666666666666667,bb994ae1-87c6-4f48-a26b-c9bbc5219e50|29f1508c-7997-4dd8-93f7-8acb1d9010bd,4,"candidate_id=81i9AucS92M_cand_04; detected_language=ko; detected_genre=variety_vlog; original_start=609.35; original_end=654.35; adjusted=False; 운전 경력과 사고 사례에 대한 심도 있는 대화가 흥미를 유발하며, 상황이 잘 드러남."
G023,81i9AucS92M,nXeoxjbSrcg,timeline_bins_bridge_k12_b12_max130__trim_variable_30_45_60_75s_x5__final_rerank__llm_top5_gpt_4o_mini_top5_rerank_v1,llm_top5_longform_reranker,highlight_reranker_v1_ko_variety_vlog,gpt-4o-mini,5,827.9,872.9,45.0,407.0,437.0,30.0,0.0,0.0,0.0,420.9,435.9,428.4,0.6666666666666666,0.0,False,False,6.666666666666667,632b598f-ff8a-49a3-9da7-8633db3a2737|b41ad4e3-42eb-4f35-9e04-12f764ee0022|40763138-90e6-4d9a-88fc-25912c210c35,4,candidate_id=81i9AucS92M_cand_05; detected_language=ko; detected_genre=variety_vlog; original_start=827.9; original_end=872.9; adjusted=False; 정비사 체험 후의 소감과 유머가 잘 어우러져 시청자에게 긍정적인 인상을 남김.
